2017-11-18 11:15:38,684 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' /home/bridgeit/Ashwini/SpringmvcProject/helloSpringMvc/pom.xml
2017-11-18 11:15:40,669 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.bridgeit:helloSpringMvc:0.0.1-SNAPSHOT @ /home/bridgeit/Ashwini/SpringmvcProject/helloSpringMvc/pom.xml.
2017-11-18 11:15:41,395 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /helloSpringMvc/src/main/java
2017-11-18 11:15:41,396 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /helloSpringMvc/src/main/resources
2017-11-18 11:15:41,397 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /helloSpringMvc/src/test/java
2017-11-18 11:15:43,963 [Worker-3] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 5 sec
2017-11-18 11:15:44,675 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-18 11:15:44,690 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-18 11:15:44,698 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-18 11:15:44,699 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Ashwini/SpringmvcProject/helloSpringMvc/src/test/resources
2017-11-18 11:16:28,208 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-18 11:16:28,210 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-18 11:16:28,212 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-18 11:16:28,212 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Ashwini/SpringmvcProject/helloSpringMvc/src/test/resources
2017-11-18 11:18:43,333 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-18 11:18:43,334 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-18 11:18:43,336 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-18 11:18:43,336 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Ashwini/SpringmvcProject/helloSpringMvc/src/test/resources
2017-11-18 11:24:09,044 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-18 11:24:09,045 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-18 11:24:09,047 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-18 11:24:09,047 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Ashwini/SpringmvcProject/helloSpringMvc/src/test/resources
2017-11-18 11:27:48,254 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-18 11:27:48,254 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-11-18 11:27:48,256 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-18 11:27:48,257 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/bridgeit/Ashwini/SpringmvcProject/helloSpringMvc/src/test/resources
